profile_id,year,month,schedule_data
50b0943e-af7c-4886-9928-84393515ec92,2025,8,"{""1"":{""shift"":""D"",""overtime"":0},""2"":{""shift"":""D"",""overtime"":0},""3"":{""shift"":""D"",""overtime"":0},""4"":{""shift"":""D"",""overtime"":0},""5"":{""shift"":""D"",""overtime"":0},""6"":{""shift"":""D"",""overtime"":0},""7"":{""shift"":""RD"",""overtime"":0},""8"":{""shift"":""D"",""overtime"":0},""9"":{""shift"":""D"",""overtime"":0},""10"":{""shift"":""D"",""overtime"":0},""11"":{""shift"":""D"",""overtime"":0},""12"":{""shift"":""D"",""overtime"":0},""13"":{""shift"":""D"",""overtime"":0},""14"":{""shift"":""D"",""overtime"":0},""15"":{""shift"":""D"",""overtime"":0},""16"":{""shift"":""D"",""overtime"":0},""17"":{""shift"":""D"",""overtime"":0},""18"":{""shift"":""RD"",""overtime"":0},""19"":{""shift"":""D"",""overtime"":0},""20"":{""shift"":""D"",""overtime"":0},""21"":{""shift"":""D"",""overtime"":0},""22"":{""shift"":""D"",""overtime"":0},""23"":{""shift"":""RD"",""overtime"":0},""24"":{""shift"":""D"",""overtime"":0},""25"":{""shift"":""D"",""overtime"":0},""26"":{""shift"":""D"",""overtime"":0},""27"":{""shift"":""D"",""overtime"":0},""28"":{""shift"":""D"",""overtime"":0},""29"":{""shift"":""D"",""overtime"":0},""30"":{""shift"":""RD"",""overtime"":0},""31"":{""shift"":""D"",""overtime"":0}}"
e2640e56-75d2-49c1-9d89-1e7a64a051e8,2025,8,"{""1"":{""shift"":""D"",""overtime"":0},""2"":{""shift"":""D"",""overtime"":0},""3"":{""shift"":""RD"",""overtime"":0},""4"":{""shift"":""D"",""overtime"":0},""5"":{""shift"":""D"",""overtime"":0},""6"":{""shift"":""D"",""overtime"":0},""7"":{""shift"":""D"",""overtime"":0},""8"":{""shift"":""D"",""overtime"":0},""9"":{""shift"":""D"",""overtime"":0},""10"":{""shift"":""RD"",""overtime"":0},""11"":{""shift"":""D"",""overtime"":0},""12"":{""shift"":""L"",""overtime"":0},""13"":{""shift"":""L"",""overtime"":0},""14"":{""shift"":""D"",""overtime"":0},""15"":{""shift"":""D"",""overtime"":0},""16"":{""shift"":""D"",""overtime"":0},""17"":{""shift"":""RD"",""overtime"":0},""18"":{""shift"":""D"",""overtime"":0},""19"":{""shift"":""D"",""overtime"":0},""20"":{""shift"":""D"",""overtime"":0},""21"":{""shift"":""D"",""overtime"":0},""22"":{""shift"":""D"",""overtime"":0},""23"":{""shift"":""D"",""overtime"":0},""24"":{""shift"":""RD"",""overtime"":0},""25"":{""shift"":""D"",""overtime"":0},""26"":{""shift"":""D"",""overtime"":0},""27"":{""shift"":""D"",""overtime"":0},""28"":{""shift"":""D"",""overtime"":0},""29"":{""shift"":""D"",""overtime"":0},""30"":{""shift"":""D"",""overtime"":0},""31"":{""shift"":""RD"",""overtime"":0}}"
f1a7bbf3-deb5-4667-b851-8a94a37dcf7a,2025,8,"{""1"":{""shift"":""D"",""overtime"":0},""2"":{""shift"":""D"",""overtime"":0},""3"":{""shift"":""D"",""overtime"":0},""4"":{""shift"":""RD"",""overtime"":0},""5"":{""shift"":""D"",""overtime"":0},""6"":{""shift"":""D"",""overtime"":0},""7"":{""shift"":""D"",""overtime"":0},""8"":{""shift"":""D"",""overtime"":0},""9"":{""shift"":""RD"",""overtime"":0},""10"":{""shift"":""L"",""overtime"":0},""11"":{""shift"":""D"",""overtime"":0},""12"":{""shift"":""D"",""overtime"":0},""13"":{""shift"":""D"",""overtime"":0},""14"":{""shift"":""D"",""overtime"":0},""15"":{""shift"":""D"",""overtime"":0},""16"":{""shift"":""D"",""overtime"":0},""17"":{""shift"":""D"",""overtime"":0},""18"":{""shift"":""D"",""overtime"":0},""19"":{""shift"":""D"",""overtime"":0},""20"":{""shift"":""D"",""overtime"":0},""21"":{""shift"":""D"",""overtime"":0},""22"":{""shift"":""D"",""overtime"":0},""23"":{""shift"":""D"",""overtime"":0},""24"":{""shift"":""D"",""overtime"":0},""25"":{""shift"":""RD"",""overtime"":0},""26"":{""shift"":""D"",""overtime"":0},""27"":{""shift"":""D"",""overtime"":0},""28"":{""shift"":""D"",""overtime"":0},""29"":{""shift"":""D"",""overtime"":0},""30"":{""shift"":""D"",""overtime"":0},""31"":{""shift"":""D"",""overtime"":0}}"
